instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
Academy of Professional Cosmetology,Rogers,AR,72756-2028,36.35541,-94.157411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,NULL,11859,NULL,NULL,NULL,NULL,NULL,NULL,6211,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2777777778,21930.62963,NULL,NULL,NULL,72756,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Salon Professionals,Sedalia,MO,65301,38.690729,-93.251559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,11606,NULL,NULL,NULL,NULL,NULL,NULL,9833,8927,PrivacySuppressed,PrivacySuppressed,0.8285714286,0.2714285714,26523.571429,NULL,NULL,NULL,65301,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Salon and Spa,Fort Smith,AR,72901,35.38097,-94.41616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,14649,16848,17430,18779,NULL,NULL,NULL,6333,4750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2820512821,22261.547009,43968.6,15986,NULL,72901,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy of Vocal Arts,Philadelphia,PA,19103-6685,39.94796,-75.173735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,24,19103,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Acaydia School of Aesthetics,Provo,UT,84601-0000,40.234627,-111.65823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133,NULL,NULL,NULL,NULL,NULL,14824,16378,18497,18529,20266,NULL,NULL,PrivacySuppressed,7667,7667,7667,PrivacySuppressed,0.4426229508,30622.295082,NULL,NULL,NULL,84601,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Access Careers,Hempstead,NY,11550-0000,40.709502,-73.61531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6099,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1333333333,19552,NULL,NULL,NULL,11550,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Access Careers-Islandia,Islandia,NY,11749-1599,40.800874,-73.175617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6099,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,11749,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Ace Cosmetology and Barber Training Center,Waterbury,CT,06705,41.593956,-72.987416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,16671,NULL,NULL,NULL,NULL,NULL,NULL,10000,9500,PrivacySuppressed,PrivacySuppressed,0.3174603175,PrivacySuppressed,13406.888889,NULL,NULL,NULL,6705,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Ace Institute of Technology,New York,NY,10018,40.753658,-73.993385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,NULL,NULL,NULL,NULL,NULL,28192,28847,29998,NULL,NULL,NULL,NULL,5575,5032,PrivacySuppressed,PrivacySuppressed,0.5272108844,0.1632653061,20541.659864,NULL,NULL,NULL,10018,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,37.862754,-122.267636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,99,94704,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Acupuncture and Massage College,Miami,FL,33176,25.686382,-80.364141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,30560,31054,NULL,NULL,NULL,33552,0.7692,7600,7600,PrivacySuppressed,PrivacySuppressed,0.6063829787,0.1914893617,23976.776596,62657.86,20452,130,33176,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,0.9988,500,490,20,19,19,NULL,1004,1612,9864,10301,13688,18159,19693,NULL,NULL,NULL,NULL,NULL,22317,0.3214,21500,12500,9970,12000,0.4890829694,0.0733624454,48770.020087,50726.71,32729,1262,81101,1.40342,.91826999,1.54843,1.09346,matched (3),CO,Alamosa,5,2284,8014,984,14705,.035096154,.27548078,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,matched (3)
Adelphi University,Garden City,NY,11530-0701,40.721439,-73.653321,0.7461,575,580,24,24,24,8,1162,5076,NULL,NULL,NULL,NULL,NULL,26732,26637,29510,30789,33219,53535,0.7258,25000,20500,21500,19086,0.7211120765,0.0421372719,77136.406603,80864.95,56611,2460,11530,1.8583699,1.45375,1.89426,1.5367,matched (3),NY,Nassau,6,5040,32340,1115,20512,.1226202,.067118429,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,matched (3)
Adler Graduate School,Minnetonka,MN,55343,44.893479,-93.410236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,267,55343,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adler University,Chicago,IL,60602,41.882414,-87.629156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,1726,60602,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adrian College,Adrian,MI,49221-2575,41.898591,-84.061481,0.6121,515,509,22,21,22,NULL,1043,1749,NULL,NULL,NULL,NULL,NULL,22070,22406,23512,25583,28367,54621,0.5391,27000,11500,12750,15750,0.4221105528,PrivacySuppressed,78517.224121,66915.1,40392,77,49221,1.5939,1.25731,1.69809,1.29861,matched (3),MI,Lenawee,6,1646,32660,990,15774,.067530066,.017576318,19.631903,28.834356,.61349696,12.269938,5.5214725,16.564417,16.564417,0,matched (3)
Adrian H. Wallace Barber Academy,Pensacola,FL,32503-2802,30.453536,-87.213526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,15202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32503,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adrian's Beauty College of Turlock,Turlock,CA,95380,37.491448,-120.863784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,16111,16763,19649,NULL,NULL,NULL,NULL,8450,6500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20408.474138,NULL,15849,NULL,95380,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adult and Community Education-Hudson,Columbus,OH,43211,40.012851,-82.980603,0.8889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,13981,16648,17670,19670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14750,14750,PrivacySuppressed,PrivacySuppressed,0.8166666667,0.3388888889,25062.844444,57550.12,39751,NULL,43211,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Adult and Continuing Education-BCTS,Hackensack,NJ,07601-6637,40.900877,-74.035045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,12456,12736,13972,16560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3500,3500,PrivacySuppressed,PrivacySuppressed,0.1578947368,0.2105263158,31285.231579,73440.15,37620,NULL,7601,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advance Beauty College,Garden Grove,CA,92843,33.759905,-117.952637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,464,NULL,NULL,NULL,NULL,NULL,14934,14886,14886,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8022813688,0.5247148289,8113.7357414,64435.27,12385,NULL,92843,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advance Beauty Techs Academy,San Jacinto,CA,92583-6572,33.884074,-117.517655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,NULL,NULL,NULL,19122,19752,NULL,21995,25168,NULL,NULL,5230,4169,PrivacySuppressed,PrivacySuppressed,0.4403669725,0.1743119266,20112.504587,NULL,NULL,NULL,92583,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advance Science International College,Miami Lakes,FL,33014,25.924708,-80.284567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,25785,23931,NULL,NULL,NULL,NULL,NULL,20000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8387096774,0.4193548387,15386.725806,44076.6,19329,NULL,33014,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced Barber College and Hair Design,Weslaco,TX,78596,26.131543,-97.958247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL,NULL,NULL,NULL,NULL,20257,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3269961977,0.1673003802,13120.007605,32089.95,14906,NULL,78596,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced Beauty College,Irving,TX,75038,32.859493,-96.9927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,7332,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19640.789474,NULL,27565,NULL,75038,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced Career Institute,Visalia,CA,93291,36.344669,-119.38533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,670,NULL,NULL,NULL,NULL,NULL,16136,17003,18495,19119,NULL,NULL,NULL,6201,6201,PrivacySuppressed,PrivacySuppressed,0.0507726269,0.2251655629,17619.523179,NULL,NULL,NULL,93291,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced College,South Gate,CA,90280,33.915383,-118.15794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,23316,22283,27056,NULL,NULL,NULL,NULL,17176,16920,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1573033708,20743.505618,49166.48,28483,NULL,90280,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced College - Salida,Salida,CA,95368-9072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17176,16920,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,95368,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced College of Cosmetology,Waupun,WI,53963-0000,43.632848,-88.736198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,12654,12167,16695,17375,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,37926.3,NULL,24220,NULL,53963,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced College-Stockton,Stockton,CA,95120-3145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17176,16920,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,95120,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced Technology Institute,Virginia Beach,VA,23462,36.841381,-76.182268,0.6987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,461,NULL,NULL,NULL,NULL,NULL,18002,18561,20871,23401,23636,23636,NULL,14166,12000,12000,12000,0.0347394541,0.1563275434,33108.325062,59955.85,35740,NULL,23462,,,,,master only (1),VA,Virginia Beach City,11,824,13255,,18350,.26373628,.021978023,0,0,0,0,0,15.163935,0,84.836067,matched (3)
Advanced Training Institute,Las Vegas,NV,89118-1519,36.09589,-115.206821,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7600,7600,7600,5134,0.0604982206,0.2206405694,27160.72242,NULL,41751,NULL,89118,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advanced Welding Institute,South Burlington,VT,05403,44.45588,-73.139437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,17736,22360,19996,19751,24763,NULL,NULL,PrivacySuppressed,PrivacySuppressed,5077,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,46469.961039,NULL,NULL,NULL,5403,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advantage Career Institute,Eatontown,NJ,07724,40.279075,-74.049694,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,NULL,NULL,NULL,NULL,10694,NULL,NULL,NULL,NULL,NULL,NULL,4856,4856,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,7724,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advantage Technical College,Manati,PR,00674,18.428049,-66.493084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,512,NULL,NULL,NULL,NULL,NULL,4586,3717,3617,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2212389381,14047.946903,16779.55,24625,NULL,674,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advantage Technical College,San Juan,PR,00907-0000,18.454692,-66.081082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,486,NULL,NULL,NULL,NULL,NULL,4266,3595,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,24625,NULL,907,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Advantage Technical College-Aguadilla,Aguadilla,PR,00603-0000,18.433012,-67.154491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,169,NULL,NULL,NULL,NULL,NULL,4596,5156,7580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,603,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
AdventHealth University,Orlando,FL,32803,28.576142,-81.367687,0.9087,560,515,23,24,22,NULL,1089,1129,NULL,NULL,NULL,NULL,NULL,24641,24663,27887,27911,28569,33648,0.3521,25034,19000,19935,14500,0.8251057828,0.2031029619,44113.008463,60028.37,55486,553,32803,1.47381,,1.54159,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Aesthetic Science Institute,Latham,NY,12110-1095,42.76194,-73.794947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,NULL,NULL,NULL,9336,10365,10343,11905,11905,NULL,NULL,PrivacySuppressed,6333,3666,3666,PrivacySuppressed,0.1774193548,41325.032258,NULL,NULL,NULL,12110,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Agnes Scott College,Decatur,GA,30030-3770,33.769268,-84.295459,0.6752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,980,NULL,NULL,NULL,NULL,NULL,16530,17463,19847,23200,25899,55403,0.7244,26737,18297,22476,19500,PrivacySuppressed,PrivacySuppressed,64883.6325,69580.95,34075,66,30030,1.5667599,1.29182,1.70559,1.34799,matched (3),GA,DeKalb,4,915,35982,,16756,.19282511,.036995515,31.884058,0,0,10.144928,0,15.94203,42.028984,0,matched (3)
Aiken School of Cosmetology and Barbering,Aiken,SC,29801,33.559545,-81.71728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7293,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.75,0.25,28902.4,NULL,22134,NULL,29801,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aiken Technical College,Graniteville,SC,29829,33.533833,-81.841666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1738,3393,2697,4296,4405,NULL,NULL,NULL,NULL,NULL,NULL,10824,NULL,13493,7850,8250,5500,0.6634676903,0.1484325016,28634.255918,50910.39,29482,NULL,29829,.63897997,.84653997,.85342002,.95095003,matched (3),SC,Aiken,9,2583,4132,,5315,.35493827,.0097001763,0,36.25304,8.5158148,9.7323599,11.922141,24.3309,0,9.2457418,matched (3)
Aims Community College,Greeley,CO,80634,40.409559,-104.763415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3433,7866,8644,9929,11601,12903,NULL,NULL,NULL,NULL,NULL,12903,NULL,7725,6576,4500,3500,0.5925394548,0.1712099474,37663.34242,59789.69,33543,NULL,80634,1.24076,.82674998,1.51025,1.01736,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,45433-7765,39.782221,-84.082618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1129,45433,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.8965,475,455,18,17,17,NULL,959,5090,14694,15379,17694,17883,20483,NULL,NULL,NULL,NULL,NULL,23445,0.2866,31000,16000,15159,14463,0.5640301318,0.0091023227,32362.826114,49720.22,28704,884,35762,.85677999,.67628998,1.12202,.74225998,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,31.206294,-85.340805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,36303,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,31.50997,-87.893386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,14559,13101,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,13069.826087,NULL,NULL,NULL,36545,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alabama State College of Barber Styling,Gardendale,AL,35071,33.643546,-86.810488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,10313,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,25116.95,58675.59,13094,NULL,35071,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.9888,485,462,17,17,17,NULL,938,3603,19581,19396,19853,19620,17559,NULL,NULL,NULL,NULL,NULL,21892,0.3177,31000,17827,15875,16500,0.6134185304,0.0079872204,31684.382188,46065.2,25949,458,36104,.77916002,.67089999,1.04811,.73655999,matched (3),AL,Montgomery,5,5356,8720,855,12342,.91720331,.0027598897,3.1311154,15.264188,.19569471,2.5440314,14.285714,15.851272,48.727982,0,matched (3)
Alamance Community College,Graham,NC,27253-8000,36.066683,-79.357657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2877,14533,14548,15163,15901,NULL,NULL,NULL,NULL,NULL,NULL,21220,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6547897196,0.1390186916,24385.699182,54329.2,27410,NULL,27253,,,,,master only (1),NC,Alamance,9,4161,2175,,10155,.19390744,.016110135,2.4479804,31.578947,14.565483,17.62546,1.4687883,23.745409,0,8.5679312,matched (3)
Alamo City Barber College,San Antonio,TX,78250-3227,29.52717,-98.639532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143,NULL,NULL,NULL,NULL,NULL,16549,17163,20002,NULL,NULL,NULL,NULL,9833,8563,PrivacySuppressed,PrivacySuppressed,0.1418439716,0.1524822695,22463.439716,NULL,NULL,NULL,78250,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alaska Bible College,Palmer,AK,99645,61.598553,-149.111972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,15630,NULL,NULL,NULL,NULL,25250,0.625,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,52437.533333,NULL,NULL,NULL,99645,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alaska Career College,Anchorage,AK,99507-1033,61.181443,-149.856954,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,412,NULL,NULL,NULL,NULL,NULL,14776,16247,NULL,NULL,NULL,NULL,NULL,9033,9071,7199,5500,0.8221153846,0.2291666667,32849.291667,69860.72,29941,NULL,99507,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Alaska Christian College,Soldotna,AK,99669,60.490459,-151.136005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,5385,NULL,NULL,NULL,NULL,21969,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5604395604,PrivacySuppressed,4251.956044,NULL,20671,NULL,99669,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Alaska Pacific University,Anchorage,AK,99508,61.190968,-149.804168,0.9065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,19478,21907,18220,13964,26714,34350,0.5556,22272,12500,12000,14998,0.6301369863,0.1575342466,59045.794521,70542.98,33401,181,99508,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Alaska Vocational Technical Center,Seward,AK,99664-0889,60.110626,-149.444487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185,7098,9982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,4750,PrivacySuppressed,PrivacySuppressed,0.2865168539,0.1292134831,36850.449438,62883.46,42891,NULL,99664,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Albany BOCES-Adult Practical Nursing Program,Albany,NY,12205,42.745685,-73.835752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,161,21591,20851,21776,25553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,9500,PrivacySuppressed,PrivacySuppressed,0.9071729958,0.1518987342,28313.130802,54530.92,40940,NULL,12205,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,42.650371,-73.779063,0.7519,595,620,28,NULL,NULL,NULL,1238,683,NULL,NULL,NULL,NULL,NULL,24379,23579,28351,31966,34166,50326,0.7465,27000,24992,25250,26225,0.6031746032,PrivacySuppressed,92607.088435,60872.01,115752,432,12208,1.73133,1.3993599,1.80083,1.40399,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Albany Law School,Albany,NY,12208,42.651818,-73.777495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,64604.23,NULL,566,12208,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Albany Medical College,Albany,NY,12208-3479,42.65382,-73.777289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,71320.04,NULL,835,12208,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Albany State University,Albany,GA,31705,31.56928,-84.141825,0.7302,420,400,17,15,16,NULL,858,5839,12480,13170,15842,17254,18489,NULL,NULL,NULL,NULL,NULL,19309,0.2605,26487,12250,12250,12000,0.6648385131,0.0773918342,34018.790981,52181.09,29345,407,31705,.87614,.79622,1.19769,.91676003,matched (3),GA,Dougherty,5,3660,5192,880,12026,.9533397,.0035155001,3.3132532,17.168674,22.289156,0,16.26506,6.3253012,34.638554,0,matched (3)
Albany Technical College,Albany,GA,31701,31.55434,-84.174284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2436,84,1053,4753,5481,NULL,NULL,NULL,NULL,NULL,NULL,8609,NULL,11500,5654,5500,4000,0.6296992481,0.1311090226,20528.653665,42438.33,22412,NULL,31701,.2386,.52875,.49375001,.62637001,matched (3),GA,Dougherty,9,3894,4746,,186,.65711945,.0061374796,0,25.094339,17.169811,0,.3773585,1.3207548,0,56.037735,matched (3)
