instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
The Catholic University of America,Washington,DC,20064,38.933651,-76.997909,0.8223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3017,NULL,NULL,NULL,NULL,NULL,25747,27863,27084,32715,38300,65857,0.7422,26000,20537,24589,22375,0.579831933,0.012138189,132473.2316,85196.61,55801,2311,20064,1.81373,1.6508501,1.87178,1.66991,matched (3)
The Chicago School of Professional Psychology at Anaheim,Anaheim,CA,92806,33.650763,-117.838089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,0.832512315,0.221674877,31396.25616,NULL,45351,474,92806,,,,,master only (1)
The Chicago School of Professional Psychology at Chicago,Chicago,IL,60654,41.888293,-87.63379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,0.832512315,0.221674877,31396.25616,PrivacySuppressed,45351,1267,60654,,,,,master only (1)
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,90017,34.021456,-118.495041,0.2441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,0.832512315,0.221674877,31396.25616,NULL,45351,2949,90017,,,,,master only (1)
The Chicago School of Professional Psychology at San Diego,San Diego,CA,92101-7903,32.718575,-117.167054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,NULL,NULL,NULL,NULL,45351,116,92101,,,,,master only (1)
The Chicago School of Professional Psychology at Washington DC,Washington,DC,20005,38.90163,-77.033071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,0.832512315,0.221674877,31396.25616,NULL,45351,766,20005,,,,,master only (1)
The Chicago School of Professional Psychology at Xavier University of Louisiana,New Orleans,LA,70125-1056,29.96527,-90.107924,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,0.832512315,0.221674877,31396.25616,NULL,45351,45,70125,,,,,master only (1)
The Christ College of Nursing and Health Sciences,Cincinnati,OH,45219-2989,39.121821,-84.509564,0.7084,538,518,21,21,20,NULL,1069,1013,NULL,NULL,NULL,NULL,NULL,12256,13915,16123,18825,19681,24950,0.3611,26232,22035,20917,20159,0.919463087,0.165548098,56772.46532,61986.6,56104,NULL,45219,,,,,matched (3)
The Chrysm Institute of Esthetics,Virginia Beach,VA,23462-2980,36.84521,-76.13732,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,NULL,NULL,NULL,NULL,NULL,17134,NULL,16098,NULL,19428,NULL,NULL,6333,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.340277778,33467.19444,NULL,NULL,NULL,23462,,,,,master only (1)
The College of Health Care Professions-Austin,Austin,TX,78723,30.322978,-97.699064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,666,NULL,NULL,NULL,NULL,NULL,29181,29414,30263,32362,NULL,NULL,NULL,9104,7723,7374,5271,0.837177748,0.150610583,24041.46269,64371.86,30012,NULL,78723,,,,,master only (1)
The College of Health Care Professions-Dallas,Dallas,TX,75247,32.830186,-96.875021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,465,NULL,NULL,NULL,NULL,NULL,26330,26415,28703,30340,NULL,NULL,NULL,9104,7723,7374,5271,0.837177748,0.150610583,24041.46269,NULL,30012,NULL,75247,,,,,master only (1)
The College of Health Care Professions-Fort Worth,Fort Worth,TX,76137-5021,32.816901,-97.311645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,704,NULL,NULL,NULL,NULL,NULL,26788,26966,28483,30947,NULL,NULL,NULL,9500,8942,8443,8477,0.865877235,0.216288062,26931.29169,NULL,27432,NULL,76137,,,,,master only (1)
The College of Health Care Professions-McAllen Campus,McAllen,TX,78504-4398,26.239856,-98.234872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,545,NULL,NULL,NULL,NULL,NULL,24735,26109,28475,29132,NULL,NULL,NULL,9500,8942,8443,8477,0.865877235,0.216288062,26931.29169,NULL,27432,NULL,78504,,,,,master only (1)
The College of Health Care Professions-Northwest,Houston,TX,77092,29.799602,-95.454298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2811,NULL,NULL,NULL,NULL,NULL,30795,31317,32212,36140,NULL,NULL,0.5188,9500,8942,8443,8477,0.865877235,0.216288062,26931.29169,57325.22,27432,NULL,77092,,,,,master only (1)
The College of Health Care Professions-San Antonio,San Antonio,TX,78229,29.488876,-98.576627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,679,NULL,NULL,NULL,NULL,NULL,29067,29081,31816,33371,NULL,NULL,NULL,9500,8942,8443,8477,0.865877235,0.216288062,26931.29169,NULL,27432,NULL,78229,,,,,master only (1)
The College of Health Care Professions-South San Antonio,San Antonio,TX,78221-1474,29.355101,-98.525559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,375,NULL,NULL,NULL,NULL,NULL,25052,25122,25680,29182,NULL,NULL,NULL,9500,8942,8443,8477,NULL,NULL,NULL,NULL,27432,NULL,78221,,,,,master only (1)
The College of Health Care Professions-Southwest Houston,Houston,TX,77074,29.701897,-95.517146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,663,NULL,NULL,NULL,NULL,NULL,24834,24916,26546,29487,NULL,NULL,NULL,9500,8942,8443,8477,0.865877235,0.216288062,26931.29169,57325.22,27432,NULL,77074,,,,,master only (1)
The College of Idaho,Caldwell,ID,83605-4432,43.652284,-116.677992,0.4835,570,575,24,NULL,NULL,NULL,1153,1100,NULL,NULL,NULL,NULL,NULL,19109,17486,19767,22377,24434,45607,0.6606,24125,14375,18500,18125,0.48199446,PrivacySuppressed,76542.14404,57741.96,36330,14,83605,1.4859101,1.2717201,1.62714,1.31572,matched (3)
The College of New Jersey,Ewing,NJ,08628-7718,40.268651,-74.778791,0.5125,610,620,27,NULL,26,NULL,1240,7039,14273,15377,25434,32381,33697,NULL,NULL,NULL,NULL,NULL,35502,0.8646,23250,18750,21500,21500,0.57700943,0.005388415,113503.8918,86752.57,57264,678,8628,1.83418,1.57357,1.90282,1.6653399,matched (3)
The College of Saint Rose,Albany,NY,12203-1490,42.664297,-73.786661,0.8188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2239,NULL,NULL,NULL,NULL,NULL,17726,19375,21534,25303,25595,48125,0.5891,25000,18240,18197,18500,0.695772696,0.020790021,67107.80111,65757.44,41805,1614,12203,1.71025,1.3542399,1.80697,1.3991899,matched (3)
